停止理由,セル番号,停止開始時刻,停止解消時刻,停止時間,大工程,中工程,MU名
故障,CROSSTAR_1,2024/05/29 06:43:57.6922,2024/05/29 06:45:04.9011,1:07.2089,JSS_WE,RRDOOR,SubPart:58
故障,CROSSTAR_1,2024/05/29 07:08:58.5847,2024/05/29 07:09:50.7106,52.1258,JSS_WE,RRDOOR,SubPart:58
故障,CROSSTAR_1,2024/05/29 07:32:15.3486,2024/05/29 07:32:40.7595,25.4109,JSS_WE,RRDOOR,SubPart:58
WEフロア台車交換,FRFLR_1,2024/05/29 08:07:00.0000,2024/05/29 08:09:18.9000,2:18.9000,JSS_WE,FRFLR,WhiteBody:241
金型CHロス,TGSub_1,2024/05/29 08:09:18.9000,2024/05/29 08:20:33.9000,11:15.0000,JSS_WE,TGSub,SubPart:793
TG部品待ち,F2_3,2024/05/29 08:09:18.9000,2024/05/29 08:20:33.9000,11:15.0000,JSS_WE,F2,WhiteBody:231
故障,CROSSTAR_1,2024/05/29 08:20:18.6774,2024/05/29 08:21:44.5459,1:25.8686,JSS_WE,RRDOOR,SubPart:804
クロスター機種CH,CROSSTAR_1,2024/05/29 08:09:18.9000,2024/05/29 08:23:18.9000,14:00.0000,JSS_WE,RRDOOR,SubPart:804
故障,CROSSTAR_1,2024/05/29 08:27:37.0580,2024/05/29 08:28:07.0994,30.0414,JSS_WE,RRDOOR,SubPart:837
故障,CROSSTAR_1,2024/05/29 08:32:33.4948,2024/05/29 08:33:21.8880,48.3933,JSS_WE,RRDOOR,SubPart:837
故障,CROSSTAR_1,2024/05/29 08:37:41.6641,2024/05/29 08:38:12.6002,30.9361,JSS_WE,RRDOOR,SubPart:837
金型CHロス,TGSub_1,2024/05/29 08:20:33.9000,2024/05/29 08:40:03.9000,19:30.0000,JSS_WE,TGSub,SubPart:813
TG部品待ち,F2_3,2024/05/29 08:20:33.9000,2024/05/29 08:45:00.0000,24:26.1000,JSS_WE,F2,WhiteBody:240
故障,CROSSTAR_1,2024/05/29 08:51:23.2654,2024/05/29 08:52:07.5942,44.3288,JSS_WE,RRDOOR,SubPart:2733
クロスター機種CH,CROSSTAR_1,2024/05/29 08:45:00.0000,2024/05/29 08:54:00.0000,9:00.0000,JSS_WE,RRDOOR,SubPart:2733
故障,CROSSTAR_1,2024/05/29 09:06:03.7936,2024/05/29 09:06:27.2269,23.4333,JSS_WE,RRDOOR,SubPart:2889
PAジグ取り付け,insertJig_1,2024/05/29 08:45:00.0000,2024/05/29 09:07:00.0000,22:00.0000,JSS_PA,insertJig,WhiteBody:958
故障,CROSSTAR_1,2024/05/29 09:18:53.4997,2024/05/29 09:19:26.7189,33.2192,JSS_WE,RRDOOR,SubPart:3229
故障,CROSSTAR_1,2024/05/29 09:42:57.9222,2024/05/29 09:43:41.7125,43.7902,JSS_WE,RRDOOR,SubPart:3229
PAジグ取り付け,insertJig_1,2024/05/29 09:07:00.0000,2024/05/29 09:45:00.0000,38:00.0000,JSS_PA,insertJig,WhiteBody:1129
故障,CROSSTAR_1,2024/05/29 09:52:37.4307,2024/05/29 09:52:48.3461,10.9154,JSS_WE,RRDOOR,SubPart:4600
クロスター機種CH,CROSSTAR_1,2024/05/29 09:45:00.0000,2024/05/29 09:54:00.0000,9:00.0000,JSS_WE,RRDOOR,SubPart:4600
故障,CROSSTAR_1,2024/05/29 10:08:22.7866,2024/05/29 10:09:06.2775,43.4908,JSS_WE,RRDOOR,SubPart:4826
金型CHロス,TGSub_1,2024/05/29 09:45:00.0000,2024/05/29 10:10:30.0000,25:30.0000,JSS_WE,TGSub,SubPart:4561
TG部品待ち,F2_3,2024/05/29 09:45:00.0000,2024/05/29 10:10:30.0000,25:30.0000,JSS_WE,F2,WhiteBody:1746
故障,CROSSTAR_1,2024/05/29 10:29:04.6727,2024/05/29 10:29:47.1779,42.5051,JSS_WE,RRDOOR,SubPart:5188
故障,CROSSTAR_1,2024/05/29 10:32:55.1762,2024/05/29 10:33:32.4681,37.2920,JSS_WE,RRDOOR,SubPart:5188
PAジグ取り付け,insertJig_1,2024/05/29 10:10:30.0000,2024/05/29 10:45:00.0000,34:30.0000,JSS_PA,insertJig,WhiteBody:1841
故障,CROSSTAR_1,2024/05/29 10:47:27.5414,2024/05/29 10:48:09.6439,42.1025,JSS_WE,RRDOOR,SubPart:5188
故障,CROSSTAR_1,2024/05/29 10:53:23.7726,2024/05/29 10:53:55.4928,31.7201,JSS_WE,RRDOOR,SubPart:5188
故障,CROSSTAR_1,2024/05/29 11:21:51.9397,2024/05/29 11:22:33.6291,41.6894,JSS_WE,RRDOOR,SubPart:5188
故障,CROSSTAR_1,2024/05/29 11:27:57.9408,2024/05/29 11:28:33.6126,35.6718,JSS_WE,RRDOOR,SubPart:5188
金型CHロス,TGSub_1,2024/05/29 11:30:00.0000,2024/05/29 11:53:15.0000,23:15.0000,JSS_WE,TGSub,SubPart:6694
TG部品待ち,F2_3,2024/05/29 11:30:00.0000,2024/05/29 11:53:15.0000,23:15.0000,JSS_WE,F2,WhiteBody:2526
