セル番号,大工程,中工程,MTTR_path
A_1,JSS_AF,A,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.A.A_1
BRAZE_1,JSS_WE,BRAZE,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.BRAZE.BRAZE_1
B_1,JSS_AF,B,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.B.B_1
CROSSTAR_1,JSS_WE,RRDOOR,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.RRDOOR.CROSSTAR_1
C_1,JSS_AF,C,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.C.C_1
D_1,JSS_AF,D,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.D.D_1
F1_1,JSS_WE,F1,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.F1.F1_1
F2_1,JSS_WE,F2,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.F2.F2_1
F3_1,JSS_WE,F3,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.F3.F3_1
FLRCOMP_1,JSS_WE,FLRCOMP,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.FLRCOMP.FLRCOMP_1
FRFLR_1,JSS_WE,FRFLR,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.FRFLR.FRFLR_1
F_1,JSS_AF,F,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.F.F_1
G_1,JSS_AF,G,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_AF.G.G_1
INNFRM_GW_1,JSS_WE,INNFRM_GW,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.INNFRM_GW.INNFRM_GW_1
SR_1,JSS_WE,SR,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.SR.SR_1
TGSub_1,JSS_WE,TGSub,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_WE.TGSub.TGSub_1
coatingInspection_1,JSS_PA,coatingInspection,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.coatingInspection.coatingInspection_1
insertJig_1,JSS_PA,insertJig,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.insertJig.insertJig_1
liquidWrapping_1,JSS_PA,liquidWrapping,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.liquidWrapping.liquidWrapping_1
removeJig_1,JSS_PA,removeJig,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.removeJig.removeJig_1
sealerOV_1,JSS_PA,sealerOV,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.sealerOV.sealerOV_1
sealer_1,JSS_PA,sealer,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.sealer.sealer_1
substrateInspectione_1,JSS_PA,substrateInspectione,.Test.JSS.Test_JSS_OverAll.JSS_Overall.JSS_PA.substrateInspectione.substrateInspectione_1
